"unitid","institution name","year","C2009_A.CIP Code -  2000 Classification","CipTitle","C2009_A.First or Second Major","C2009_A.Award Level code","C2009_A_RV.Grand total","C2009_A_RV.American Indian or Alaska Native total - derived","C2009_A_RV.Asian/Native Hawaiian/Other Pacific Islander total - derived","C2009_A_RV.Black or African American/Black non-Hispanic total - derived","C2009_A_RV.Hispanic or Latino/Hispanic total - derived","C2009_A_RV.White/White non-Hispanic total - derived","C2009_A_RV.American Indian or Alaska Native total - new","C2009_A_RV.Asian total - new","C2009_A_RV.Black or African American total - new","C2009_A_RV.Hispanic or Latino total - new","C2009_A_RV.Native Hawaiian or Other Pacific Islander total - new","C2009_A_RV.White total - new","C2009_A_RV.Two or more races total - new","C2009_A_RV.Nonresident alien total","IDX_C"
"102614","University of Alaska Fairbanks","2009","'26.13'","Ecology, Evolution, Systematics and Population Biology","First major","Doctor's degree - research/scholarship (new degree classification)","1","0","0","0","0","1",,,,,,,,"0","-2"
"104179","University of Arizona","2009","'26.13'","Ecology, Evolution, Systematics and Population Biology","First major","Doctor's degree - research/scholarship (new degree classification)","12","0","1","0","0","9","0","1","0","0","0","9","0","1","-2"
"117636","Loma Linda University","2009","'26.13'","Ecology, Evolution, Systematics and Population Biology","First major","Doctor's degree - research/scholarship (new degree classification)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-2"
"125231","Walden University","2009","'26.13'","Ecology, Evolution, Systematics and Population Biology","First major","Doctor's degree - research/scholarship (new degree classification)","11","0","2","4","0","2",,,,,,,,"0","-2"
"129020","University of Connecticut","2009","'26.13'","Ecology, Evolution, Systematics and Population Biology","First major","Doctor's degree - research/scholarship (new degree classification)","2","0","0","0","0","0",,,,,,,,"1","129020"
"130794","Yale University","2009","'26.13'","Ecology, Evolution, Systematics and Population Biology","First major","Doctor's degree - research/scholarship (new degree classification)","6","0","0","0","0","5",,,,,,,,"1","-2"
"135726","University of Miami","2009","'26.13'","Ecology, Evolution, Systematics and Population Biology","First major","Doctor's degree - research/scholarship (new degree classification)","11","0","0","1","1","6",,,,,,,,"2","-2"
"144050","University of Chicago","2009","'26.13'","Ecology, Evolution, Systematics and Population Biology","First major","Doctor's degree - research/scholarship (new degree classification)","12","0","0","0","1","9",,,,,,,,"1","-2"
"145637","University of Illinois at Urbana-Champaign","2009","'26.13'","Ecology, Evolution, Systematics and Population Biology","First major","Doctor's degree - research/scholarship (new degree classification)","2","0","0","0","0","2",,,,,,,,"0","-2"
"155317","University of Kansas","2009","'26.13'","Ecology, Evolution, Systematics and Population Biology","First major","Doctor's degree - research/scholarship (new degree classification)","6","0","0","0","0","3",,,,,,,,"2","-2"
